img,cap_normal_max_search,cap_beam_search_k3,cap_beam_search_k5,cap_beam_search_k7
../data/InfoLab_images/Self-assessed relevance of animal experimentation in scientists’ own work..png,A person walks up a large rock in the grass .,There is a dark haired black dog carrying a stick in his mouth while looking at a baseball in its mouth .,The long haired child walking up a hill .,The long haired child walking up a hill .
../data/InfoLab_images/photo_2019-12-13_17-48-54.jpg,A person is riding a skateboard in the trees on a wooden top .,A shirtless man skateboards on a ledge .,A shirtless skateboarder .,A male skateboarder is skating in a skate park .
../data/InfoLab_images/2019-05-13 07.19.02.jpg,A smiling dog sits on a field in front of a tree .,A brown animal carrying onto a tan and black dog in the grass .,There is a racing dog running down a field .,An animal sits in a field .
../data/InfoLab_images/2019-04-29 07.20.53.jpg,A woman is flying on the side of a with her hand and 's hand .,A woman in a blue shirt and black pants is riding a bike in the and snow .,A woman in a black shirt is riding a yellow bike through the water .,A woman and a dog on a beach .
../data/InfoLab_images/photo5886395122214612381.jpg,A child in a helmet on a rock .,A child in a helmet on a motorcycle .,A child in a helmet on a motorcycle .,A child in a helmet on a motorcycle .
../data/InfoLab_images/Figure01 - Susana Barbosa.png,"The smiling baby is wearing a white dry shirt , and between two poles .",There is a child with a white shirt and a black dog in the air at the dog show .,The smiling child has ready to the sky in the middle of the beach .,The smiling child has ready to the sky in the middle of the beach .
../data/InfoLab_images/20160518_144047.jpg,A little girl is sitting in front of a white building with light sun behind her .,A little girl is sitting in front of a black bag .,A little girl is sitting in front of a blue and white building .,A smiling little blonde haired girl is sitting on a woman in a colorful shirt .
../data/InfoLab_images/2019-06-05 09.20.21.jpg,A man is standing in a field of a yellow and white a dog .,A man is standing in a field of a yellow and white a dog .,A lot of men and a referee .,A lot of men and a referee .
../data/InfoLab_images/20160518_144040.jpg,A woman is sitting in a car surrounded by adults .,A woman sits in a public shop while reading a book .,A woman sits in a public shop while reading a book .,A woman sits in a public shop while reading a book .
../data/InfoLab_images/2019-04-03 11.56.02.jpg,a dog a a a a man on a a a a a a a a a the a man a the a a a a a a a a . down a man the on .,a man and a dog a a a a a a a a a a a a a a a a a a a a a a a a a a and a and the and a shirt the,a girl in a a a a a a a a a and a a man a a a a a a a a a a a a a a a a a a a . a . a,a brown and a a a a a a a a a dog a a a a a a a a a a a a a a a a a a a a a and a . . a
../data/InfoLab_images/photo5886395122214612380.jpg,"A man and woman sit together on public , with buildings in mouth .",A man and woman are sitting at a table filled with is with others of its arm .,A man and woman are sitting at a table filled with is with others of its arm .,A man and woman wearing black are smiling .
../data/InfoLab_images/hum-joana.JPG,A white dirt dog is .,A white dirt dog is .,A white dirt dog is .,A white dirt dog is .
